Suburb,Address,Rooms,Type,Price,BuildingArea,YearBuilt
Preston,99 Dundas St,3,h,1040000,NA,NA
Preston,29 Hope St,3,h,1050000,NA,1948
Preston,5 Bischoff St,2,h,9e+05,528,NA
Preston,28/122 High St,2,u,425000,69,2010
Preston,1c Oak St,2,u,515000,60,2005
Preston,74 Pender St,3,h,1040000,121,1940
Preston,1/46 Tyler St,2,h,520000,NA,2012
Preston,3/18 Furzer St,3,u,605000,NA,NA
Preston,12 Newcastle St,3,h,890000,100,1950
Preston,13 Patterson St,2,h,790000,100,1925
Preston,16 Swallow St,3,h,1e+06,NA,NA
Preston,2 Esther St,2,h,860000,138,1925
Preston,21 George St,2,h,630000,82,1940
Preston,33 George St,4,h,660000,NA,NA
Preston,42 Kathleen St,3,h,810000,NA,NA
Preston,10 Pender St,4,h,875000,147,1940
Preston,27 South St,3,h,923000,118,1920
Preston,38 Wilcox St,4,h,920000,184,1920
Preston,86 Cramer St,3,h,1150000,NA,NA
Preston,33 Gordon Gr,4,h,871000,150,1950
Preston,13 Grampian St,4,h,910000,NA,NA
Preston,11 Inverloch St,3,h,1330000,NA,NA
Preston,194 Miller St,4,h,950000,140,2005
Preston,192 Murray Rd,3,h,821000,NA,NA
Preston,30 Okeefe St,3,h,888500,NA,NA
Preston,192 Wood St,4,h,870000,117,1890
Preston,31 Belgrove St,3,h,1186000,83,1960
Preston,329 Plenty Rd,3,h,9e+05,NA,1950
Preston,91 Plenty Rd,3,h,8e+05,NA,1910
Preston,252 Raglan St,3,h,1030000,NA,NA
Preston,17 Tynan St,4,h,1615000,NA,NA
Preston,25 Watson St,3,h,715000,NA,NA
Preston,1/28 Carlisle St,2,u,610000,79,1970
Preston,21 Gillingham St,3,h,1162500,123,1920
Preston,62 Leicester St,4,h,1142500,160,1970
Preston,140 Murray Rd,3,h,930000,143,1950
Preston,67 Regent St,3,h,875000,119,1950
Preston,4 Raymond St,4,h,840000,120,1950
Preston,4 Stott St,3,h,805000,NA,NA
Preston,13 The Mews,3,h,750000,127,2005
Preston,171 Tyler St,4,h,750000,150,1950
Reservoir,1/21 Dumbarton St,3,u,475000,107,1990
Reservoir,1/147 Purinuan Rd,2,u,415000,84,2012
Reservoir,30 Ashton St,3,h,731000,138,1950
Reservoir,2/20 Crookston Rd,2,u,352000,62,2012
Reservoir,19 Drysdale St,3,h,723000,86,1950
Reservoir,8/211 Edwardes St,2,u,336000,67,1970
Reservoir,53 Fordham Rd,3,h,685000,85,1955
Reservoir,1/72 Purinuan Rd,3,t,620000,NA,2006
Reservoir,10 Ryan St,3,h,620000,NA,NA
Reservoir,19 Wilkinson St,3,h,1025000,272,1950
Reservoir,2/16 Cheddar Rd,2,t,490000,84,2014
Reservoir,686 High St,3,h,805000,118,1930
Reservoir,40 Hughes Pde,4,h,770000,NA,NA
Reservoir,2/16 Odowd St,3,u,645000,NA,2002
Reservoir,31 Powell St,3,h,1005000,467,1930
Reservoir,5 Queen St,2,h,931000,NA,NA
Reservoir,15 Rodman St,2,h,810000,NA,NA
Reservoir,17 Odowd St,2,h,535000,92,2014
Reservoir,3 Xavier Gr,3,h,920000,NA,NA
Reservoir,57 Barry St,3,h,8e+05,170,1975
Reservoir,29 Dredge St,3,h,510000,135,1965
Reservoir,86 Hickford St,3,h,651000,114,1950
Reservoir,10 Zinnia St,3,h,502500,NA,NA
Reservoir,197 Albert St,2,h,365000,83,1960
Reservoir,3/38 Barton St,2,u,405000,94,2009
Reservoir,40b Drysdale St,3,t,620500,117,2011
Reservoir,28 Gloucester St,3,h,730000,NA,NA
Reservoir,1/40 Godley St,1,h,260000,80,2000
Reservoir,16 Kinsale St,3,h,665000,NA,NA
Reservoir,1/1 Leamington St,3,h,625000,186,2003
Reservoir,4/134 McMahon Rd,2,u,357500,NA,NA
Reservoir,4/1 Ashley St,2,u,427500,84,1980
Reservoir,5 Bluebell Pl,4,h,851000,244,2006
Reservoir,41 Cameron St,3,h,998000,153,1950
Reservoir,39 Kinsale St,4,h,1030000,190,1935
Reservoir,1/33 McComas St,2,h,498000,NA,NA
Reservoir,1/40 McComas St,2,u,410000,61,2004
Reservoir,3/36 Myrtle Gr,2,u,450000,NA,NA
Reservoir,4/7 Oconnor St,1,u,341000,NA,NA
Reservoir,14/696 Plenty Rd,2,u,270000,NA,NA
Reservoir,69 Powell St,3,h,9e+05,NA,NA
Reservoir,1/3 Boldrewood Pde,3,h,5e+05,NA,NA
Reservoir,13 Crawley St,4,h,1015000,135,1920
Reservoir,193 Edwardes St,3,h,915000,153,1960
Reservoir,66 Elinda Pl,2,h,380000,NA,1990
Reservoir,1a Fordham Rd,2,u,468000,NA,NA
Reservoir,15 George St,3,h,8e+05,NA,1950
Reservoir,4/60 Henty St,2,u,380000,70,1980
Reservoir,91 Henty St,3,h,6e+05,NA,NA
Reservoir,6/137 Hickford St,3,t,530000,130,2008
Reservoir,3/14 MacK St,3,t,592000,160,2016
Reservoir,11a Oconnor St,2,h,611000,NA,NA
Reservoir,2/102 Rathcown Rd,2,u,440000,83,1980
Reservoir,3 Colthur St,3,h,650000,114,1960
Reservoir,6/13 Fyfe St,2,t,416000,70,2000
Reservoir,15 Glenvale Rd,3,h,610000,NA,NA
Reservoir,43 Gloucester St,3,h,890000,NA,NA
Reservoir,6/833 High St,3,u,301000,63,1970
Reservoir,43 Kingsley Rd,3,h,865000,110,1950
Reservoir,3/16 McComas St,2,u,436000,NA,2011
Reservoir,104 Royal Pde,4,h,650000,NA,1965
Reservoir,7/47 Storey Rd,2,u,432000,NA,NA
Reservoir,96 Whitelaw St,3,h,650000,98,1950
Reservoir,65 Barry St,2,h,836000,NA,NA
Reservoir,3/66 Darebin Bvd,2,u,401000,77,1965
Reservoir,34 Drysdale St,2,h,635000,NA,NA
Reservoir,1/35 George St,2,u,491000,93,1970
Reservoir,5/2 Griffiths St,2,u,420000,NA,NA
Reservoir,3 Hillcroft St,3,h,810000,558,1960
Reservoir,9 Howard St,3,h,780000,NA,NA
Reservoir,2/66 Pine St,2,u,520000,NA,1980
Reservoir,23 Tovey St,3,h,660000,NA,NA
Reservoir,2/953 High St,2,h,555000,92,1970
Reservoir,2/89 Purinuan Rd,2,t,350000,72,2016
Reservoir,2/116 Summerhill Rd,3,h,540000,146,2003
Reservoir,1/5 Box St,3,t,678000,NA,2009
Reservoir,146 North Rd,3,h,812000,NA,1950
Reservoir,31 Rathcown Rd,3,h,682000,103,1970
Reservoir,2/33 Ashley St,2,t,380000,85,2010
Reservoir,3/18 Bedford St,1,u,350000,45,2009
Reservoir,8 Bedwell St,4,h,750000,197,1965
Reservoir,3/41 Fordham Rd,2,t,495000,73,2013
Reservoir,18 Frankston St,2,h,644000,NA,1940
Reservoir,30 Godley St,4,h,895500,NA,NA
Reservoir,1/65 Keon Pde,3,u,5e+05,109,1960
Reservoir,24 Livingstone St,3,h,940000,NA,NA
Reservoir,97 North Rd,2,h,755000,NA,NA
Reservoir,3/68 Northernhay St,2,t,568000,NA,NA
Reservoir,4/62 St Vigeons Rd,2,u,350000,67,1970
Reservoir,3/14 Aberdeen St,2,u,452000,NA,NA
Reservoir,9/99 Barton St,2,u,335000,54,2012
Reservoir,7 Caddy Ct,3,h,585000,NA,NA
Reservoir,2/7 Mattea Ct,2,u,360000,NA,NA
Reservoir,3/7 Mattea Ct,2,u,380000,NA,2011
Reservoir,12 Nisbett St,3,h,546000,84,1960
Reservoir,1/73 Purinuan Rd,3,u,4e+05,97,1970
Reservoir,249 Spring St,4,h,1700000,NA,NA
Reservoir,28 Black St,3,h,592500,NA,NA
Reservoir,60 Powell St,3,h,830000,NA,1928
Reservoir,3/94 Purinuan Rd,2,u,360000,65,2010
Reservoir,83 Royal Pde,3,h,655000,NA,NA
Reservoir,1/104 Cheddar Rd,3,h,410000,105,1960
Reservoir,115 Cheddar Rd,2,h,836000,121,1970
Reservoir,13 Clements Gr,2,h,635000,NA,NA
Reservoir,117 Darebin Bvd,4,h,811000,525,NA
Reservoir,24 Epstein St,2,h,650000,NA,NA
Reservoir,16 North Rd,3,h,765000,NA,NA
Reservoir,2/102 Rathcown Rd,2,u,440000,83,1980
Reservoir,61 Southernhay St,3,h,715000,NA,NA
Reservoir,9 Ayr St,4,h,670000,NA,NA
Reservoir,1/18 Duffy St,2,u,376000,77,1970
Reservoir,2/963 High St,2,u,323000,65,1960
Reservoir,119 Hughes Pde,3,h,680000,146,1965
Reservoir,2/27 Kenilworth St,2,t,530000,106,2007
Reservoir,39 Mason St,4,h,786000,174,2013
Reservoir,4/7 Pershing St,2,u,390000,74,1980
Reservoir,8 Willoughby St,3,h,650000,92,1960
Reservoir,5 Zinnia St,3,h,540000,NA,NA
Reservoir,43 Barry St,3,h,685000,NA,NA
Reservoir,2 Carrington Rd,3,h,8e+05,159,1955
Reservoir,4 Dennis St,3,h,830000,NA,NA
Reservoir,2/14 Drysdale St,2,u,330000,64,1970
Reservoir,12 Ida Ct,3,h,539000,114,1960
Reservoir,79 Darebin Bvd,3,h,622500,94,1960
Reservoir,89 Darebin Bvd,4,h,767500,129,2017
Reservoir,15 Down St,3,h,780000,125,1920
Reservoir,18 Elizabeth Ct,3,h,668000,149,1965
Reservoir,53 Northernhay St,4,h,1215000,NA,NA
Reservoir,5 Birdwood St,3,h,1120000,NA,NA
Reservoir,1/26 Chaleyer St,3,u,470000,97,1970
Reservoir,75 Cheddar Rd,3,h,8e+05,NA,NA
Reservoir,192 Edwardes St,2,h,1700000,NA,NA
Reservoir,4 Hickford St,3,h,655000,137,1970
Reservoir,12 Kinkora Rd,3,h,885000,NA,NA
Reservoir,28A McMahon Rd,2,h,510000,NA,NA
Reservoir,1/12 Merino St,2,u,440000,93,1980
Reservoir,12 Borrie St,3,h,703000,120,1960
Reservoir,1/5 Daventry St,2,u,424000,81,1980
Reservoir,11 Elsey Rd,4,h,750000,NA,NA
Reservoir,25 Florence Cl,3,h,613000,149,1985
Reservoir,6 McShane St,3,h,779000,NA,NA
Reservoir,1 Nisbett St,2,t,425000,100,NA
Reservoir,85 Radford Rd,5,h,791000,NA,NA
Reservoir,3 Sheargold Ct,3,h,475000,133,1970
Reservoir,50 Gloucester St,3,h,950000,120,1920
Reservoir,3/141 Hickford St,2,u,352000,NA,1970
Reservoir,24 Ludeman Ct,4,h,730000,152,1970
Reservoir,140 Purinuan Rd,2,h,791000,NA,NA
Reservoir,6 Rodman St,3,h,905000,121,1960
Reservoir,2/152 St Vigeons Rd,2,u,480000,145,2010
Reservoir,13 Whitby St,3,h,767000,96,1950
Reservoir,26 York St,3,h,871000,NA,NA
Reservoir,1/15 Chenies St,3,u,450000,108,2002
Reservoir,10 Gilbank St,3,h,921500,177,1950
Reservoir,2/10 Odowd St,2,t,490000,91,2013
Reservoir,13 Southernhay St,3,h,787000,118,1940
Reservoir,8/99 Barton St,2,u,3e+05,55,2014
Reservoir,9/99 Barton St,2,u,335000,54,2012
Reservoir,30 Boldrewood Pde,3,h,670500,NA,NA
Reservoir,89 Cheddar Rd,5,h,1050000,NA,NA
Reservoir,2/7 Colthur St,3,u,475000,100,2010
Reservoir,4/32 Crookston Rd,2,u,440000,87,2007
Reservoir,30 Kinsale St,3,h,851500,NA,1930
Reservoir,129 Spring St,2,h,623500,NA,NA
Reservoir,52 Wilson Bvd,4,h,830000,NA,NA
Reservoir,14 Beenak St,3,h,572000,NA,NA
Reservoir,1/15 Delaware St,3,h,6e+05,NA,NA
Reservoir,2/15 Delaware St,3,h,450000,NA,NA
Reservoir,2/2 Elsey Rd,2,u,525000,NA,2014
Reservoir,17 Ramleh Rd,3,h,692500,NA,NA
Reservoir,163 Spring St,4,h,790000,NA,NA
Reservoir,70 Barry St,3,h,785000,NA,NA
Reservoir,16 Cool St,2,h,840000,NA,NA
Reservoir,30 Davidson St,5,h,925000,NA,NA
Reservoir,906 High St,3,h,7e+05,NA,1950
Reservoir,5 Jess St,4,h,801000,NA,1965
Reservoir,1/164 Leamington St,1,u,216000,45,1970
Reservoir,2/164 Leamington St,1,u,220000,45,1970
Reservoir,57 Newton St,3,h,866000,NA,NA
Reservoir,6/5 Seaver Gr,2,u,340000,80,1975
Reservoir,27 Banff St,2,h,500250,NA,1960
Reservoir,2/1 Clark St,1,h,395000,50,2014
Reservoir,33 Edwardes St,3,h,810000,NA,NA
Reservoir,89 Henty St,2,h,790000,97,1950
Reservoir,2/2 Leamington St,2,u,465000,NA,NA
Reservoir,273 Mahoneys Rd,3,h,601000,102,1965
Reservoir,103 McMahon Rd,2,h,772000,NA,NA
Reservoir,33 Shand Rd,2,h,968000,NA,NA
Reservoir,7 Thackeray Rd,3,h,928000,NA,NA
Reservoir,5/25 Ashley St,2,u,3e+05,62,1970
Reservoir,4/18 Gourock St,2,t,420000,107,2003
Reservoir,1 Harmer St,4,h,885000,262,1985
Reservoir,4/1067 High St,2,u,240000,NA,1970
Reservoir,42 Kingsley Rd,3,h,815000,557,1965
Reservoir,28 Mendip Rd,3,h,882500,135,1940
Reservoir,54 Pine St,3,h,793000,128,1950
Reservoir,1/21 Crookston Rd,3,h,550000,128,2006
Reservoir,1/173 Edwardes St,2,u,477000,NA,NA
Reservoir,1/14 Ludeman Ct,2,u,433000,72,2012
Reservoir,6 Mattea Ct,3,u,672000,NA,NA
Reservoir,124 Rathcown Rd,2,h,680000,92,1960
Reservoir,15 Berwick St,3,h,751000,NA,1940
Reservoir,10 Dumbarton St,3,h,851000,101,1960
Reservoir,657 Gilbert Rd,3,h,777000,NA,NA
Reservoir,24 Home St,4,h,1162000,NA,NA
Reservoir,89 McMahon Rd,3,h,620000,NA,NA
Reservoir,1 Mendip Rd,3,h,1025000,134,1935
Reservoir,72 Oconnor St,3,h,762500,NA,NA
Reservoir,40 Powell St,3,h,832000,NA,NA
Reservoir,17 Steane St,5,h,820000,150,NA
Reservoir,81 Barton St,3,h,784000,162,1970
Reservoir,16 Birdwood St,4,h,1186000,188,1940
Reservoir,11 Carrington Rd,3,h,665000,NA,NA
Reservoir,1/9 Daventry St,2,u,405000,NA,1965
Reservoir,1/23 George St,2,u,431000,NA,1975
Reservoir,39 Leamington St,4,h,885000,141,1950
Reservoir,6 MacKenzie St,3,h,718500,133,1975
Reservoir,12 Nutwood St,5,h,762500,285,1990
Reservoir,20 Rodman St,3,h,737000,NA,NA
Reservoir,56 Gloucester St,3,h,810000,NA,NA
Reservoir,42 Oconnor St,2,h,610000,103,1970
Reservoir,4/77 Pine St,2,u,430000,NA,NA
Reservoir,39 Shand Rd,2,h,730000,NA,NA
Reservoir,183 Wilson Bvd,4,h,680000,134,1960
Reservoir,27 Ashton St,3,h,705000,NA,1930
Reservoir,46 Bourke St,3,h,705000,NA,NA
Reservoir,2/14 Ludeman Ct,2,u,390000,65,2012
Richmond,24 Butler St,2,h,937000,103,1950
Richmond,81 Erin St,3,h,1260000,81,1900
Richmond,52 Lyndhurst St,3,t,1236000,NA,NA
Richmond,409/120 Palmer St,2,u,540000,NA,NA
Richmond,6/25 River St,2,u,795250,85,1997
Richmond,29/9 Tennyson St,2,u,582000,75,2001
Richmond,2/65 Westbank Tce,1,u,5e+05,NA,NA
Richmond,7 Bank St,3,h,1600000,NA,NA
Richmond,29 Bowen St,3,h,2180000,NA,NA
Richmond,3/11 Brougham St,1,u,370000,38,1950
Richmond,131 Lord St,4,h,3335000,NA,1893
Richmond,60 Somerset St,2,h,935000,NA,1998
Richmond,234 Coppin St,3,h,1102000,NA,NA
Richmond,502/39 Bosisto St,1,u,437500,NA,2013
Richmond,412/10 Burnley St,1,u,421000,57,2012
Richmond,3/24 Davison St,2,u,479000,NA,1970
Richmond,78 Davison St,5,h,3200000,260,1890
Richmond,28/81 Edinburgh St,2,u,479000,62,1970
Richmond,32 Jubilee Pl,2,h,1042500,NA,NA
Richmond,318/185 Lennox St,2,u,655000,69,2005
Richmond,45 Lord St,2,h,1130000,NA,NA
Richmond,414/6 Lord St,2,u,561000,66,2013
Richmond,101/18 Tanner St,2,u,635000,76,2003
Richmond,247 Church St,3,h,1010000,105,1900
Richmond,32 Duke St,2,h,1025000,92,1900
Richmond,193 Mary St,2,h,1102000,NA,NA
Richmond,36/86 Burnley St,2,u,550000,68,2000
Richmond,21 Gardner St,3,h,1152500,NA,NA
Richmond,33a River St,4,h,1375000,158,2007
Richmond,28 Stawell St,3,h,1422000,NA,NA
Richmond,52 Brighton St,2,h,1506000,131,1920
Richmond,31 Johnson St,3,h,1350000,116,1940
Richmond,21 Leslie St,3,h,1090000,NA,NA
Richmond,110/61 Stawell St,1,u,405000,53,2005
Richmond,305/28 Burnley St,1,u,327000,43,2012
Richmond,30 Cameron St,3,h,1474000,94,1900
Richmond,32 Cameron St,3,h,1555000,115,1900
Richmond,315/6 Lord St,1,u,5e+05,52,2013
Richmond,53/69 Palmer St,2,u,815000,NA,NA
Richmond,12/104 Rowena Pde,1,u,345000,NA,1970
Richmond,406/20 Burnley St,1,u,345000,45,2012
Richmond,255 Coppin St,3,h,1275000,128,1900
Richmond,13 McKay St,3,h,1150000,92,1900
Richmond,249 Punt Rd,4,h,950000,124,1890
Richmond,303/18 Tanner St,2,h,270000,60,2004
Richmond,229/253 Bridge Rd,1,u,439000,56,2011
Richmond,12/200 Brighton St,2,u,695000,68,1997
Richmond,6/33 Goodwood St,2,u,512000,61,1970
Richmond,2/175 Kent St,2,t,855000,115,1970
Richmond,503/6 Lord St,2,u,1040000,95,2013
Richmond,508/18 Tanner St,1,u,681000,50,2004
Richmond,6 Berry St,2,h,9e+05,63,1900
Richmond,50B Duke St,3,h,1250000,126,2010
Richmond,22 Garfield St,2,h,990000,75,1900
Richmond,8 George St,2,h,1189000,110,1900
Richmond,308 Lennox St,2,h,1220000,88,1900
Richmond,47 Lord St,2,h,1220000,NA,NA
Richmond,149 Mary St,3,h,1100000,81,1915
Richmond,26 Thomas St,3,h,1346000,NA,NA
Richmond,28/8 Hull St,2,u,450000,66,2000
Richmond,73 Brighton St,2,h,1340000,NA,NA
Richmond,36 Charlotte St,2,h,1421000,NA,NA
Richmond,25 Egan St,3,h,1074000,140,1900
Richmond,8 Hodgson Tce,3,h,1205000,NA,NA
Richmond,35A Hunter St,2,t,1430000,125,2004
Richmond,41 Shelley St,3,h,1465000,170,1993
Richmond,7/42 Baker St,2,u,391000,51,1965
Richmond,41 Clifton St,2,h,1035000,NA,1900
Richmond,9/13 Manton St,2,u,530000,NA,1965
Richmond,38a Buckingham St,2,t,930000,85,2004
Richmond,77 Buckingham St,3,h,1182000,110,1920
Richmond,143 Burnley St,2,h,777500,76,1900
Richmond,27 Glass St,3,h,1115000,120,1980
Richmond,704/8 Howard St,3,u,760000,120,2005
Richmond,10/8 Hull St,2,u,640000,69,2000
Richmond,292 Lennox St,3,h,1710000,NA,NA
Richmond,8 Malleson St,3,h,1420000,119,1890
Richmond,603/120 Palmer St,1,u,390000,40,2011
Richmond,3 Portland St,3,h,3020000,NA,NA
Richmond,31 Westbank Tce,3,h,1346000,NA,NA
Richmond,106/28 Burnley St,1,u,380000,44,2012
Richmond,6/366 Church St,2,u,680000,52,2012
Richmond,4a Gardner St,2,t,1081000,115,1995
Richmond,42 Hunter St,2,h,860000,95,2000
Richmond,48 Rooney St,3,h,1820000,NA,1900
Richmond,35 Shelley St,2,h,905000,54,1920
Richmond,401/18 Tanner St,2,u,691000,85,2008
Richmond,29 Bennett St,3,h,1088000,120,1915
Richmond,2/310 Burnley St,3,t,911000,110,2000
Richmond,30 Highett St,4,h,3001000,241,1920
Richmond,9/63 Stawell St,2,u,638000,77,2008
Richmond,80 Bunting St,2,h,951000,NA,1905
Richmond,215 Burnley St,2,h,912000,NA,NA
Richmond,6/361 Church St,1,u,415000,NA,NA
Richmond,158 Mary St,3,h,1285000,NA,NA
Richmond,3 Type St,2,h,1220000,NA,NA
Richmond,18 Buckingham St,3,h,9e+05,60,2009
Richmond,36 Elm Gr,3,h,1695000,118,1900
Richmond,6 Kennedy St,3,h,1365000,110,1935
Richmond,117 Lord St,2,h,1088000,NA,NA
Richmond,110 Mary St,3,h,1765000,NA,NA
Richmond,58 Rooney St,2,h,1045000,90,1900
Richmond,8 Survey St,4,h,1591000,145,1900
Richmond,305/45 York St,1,u,402000,NA,NA
Richmond,6 Brady St,3,h,1275000,95,1900
Richmond,83 Buckingham St,2,h,1035000,NA,NA
Richmond,48 Docker St,3,h,2e+06,NA,NA
Richmond,16/10 Elaine Ct,3,u,931000,NA,NA
Richmond,14 Hunter St,3,h,2640000,NA,NA
Richmond,21A Kent St,2,t,842000,2,NA
Richmond,9 Type St,4,h,1510000,171,1900
Richmond,40 York St,3,h,1550000,76,1900
Richmond,134 Coppin St,3,h,1456000,141,1900
Richmond,28 Corsair St,2,h,1145000,NA,1910
Richmond,27/16 Goodwood St,2,t,810000,NA,NA
Richmond,5 Koorang La,3,h,1100000,118,2013
Richmond,1 Newry St,2,h,1220000,NA,NA
Richmond,7/1 Princess St,2,t,895000,NA,NA
Richmond,20 Stillman St,2,h,1430000,NA,NA
Richmond,45 Westbank Tce,2,h,1045000,81,1890
Richmond,7 Bowen St,3,h,2e+06,180,1910
Richmond,10/200 Brighton St,2,u,646000,70,1993
Richmond,207/12 Coppin St,2,u,660000,76,2013
Richmond,51 Hunter St,2,h,1145000,80,1960
Richmond,103/8 Howard St,1,u,380000,NA,NA
Richmond,2 Kimber St,3,h,1285000,NA,NA
Richmond,249 Punt Rd,4,h,905000,124,1890
Richmond,31/15 River Bvd,2,u,750000,104,2000
Richmond,140/73 River St,2,u,604000,75,2009
Richmond,176 Buckingham St,4,h,1645000,214,1970
Richmond,301/633 Church St,3,u,945000,NA,1999
Richmond,7/182 Coppin St,1,u,306000,40,1965
Richmond,19 Dickens St,3,h,1270000,102,1900
Richmond,23a Dickmann St,3,t,975000,NA,1993
Richmond,1 Griffiths St,2,h,1105000,NA,NA
Richmond,8 Neptune St,2,h,965000,NA,1900
Richmond,606/120 Palmer St,2,u,620000,NA,2011
Richmond,4/1 Princess St,3,h,1100000,NA,NA
Richmond,211/18 Tanner St,1,u,450000,NA,NA
Richmond,29 Westbank Tce,3,h,1850000,112,1900
Richmond,57 Neptune St,3,h,1650000,141,1920
Richmond,41 Cameron St,3,h,1320000,118,1890
Richmond,320 Church St,3,h,1651000,111,1900
Richmond,2 Francis St,3,h,1032000,NA,NA
Richmond,3 Jika Pl,3,h,915000,NA,NA
Richmond,3 Mary St,3,h,1075000,NA,NA
Richmond,46 Park Gr,4,h,1800000,193,1900
Richmond,3/77 River St,3,u,791500,104,2005
Richmond,22a Stanley St,3,h,1600000,144,1850
Richmond,10 Botherambo St,2,t,1200000,89,1940
Richmond,288 Church St,3,h,1555000,164,1900
Richmond,25 Dickmann St,3,h,1361000,102,NA
Richmond,12 Longfield St,3,h,1540000,NA,NA
Richmond,1/7 Sanders Pl,3,t,1582000,184,2005
Richmond,302/366 Church St,2,u,712000,NA,2012
Richmond,28 Farmer St,3,h,2055000,121,1960
Richmond,23 Gardner St,3,t,1012000,NA,NA
Richmond,239 Punt Rd,3,h,1570000,NA,NA
Richmond,30 Rowena Pde,3,h,1345000,128,1900
Richmond,201/61 Stawell St,1,u,410000,60,2008
Richmond,3/61 Stawell St,2,u,696000,68,2008
Richmond,5 Birch Sq,3,h,1350000,174,2000
Richmond,4 Burgess St,3,h,1405000,NA,NA
Richmond,601/10 Burnley St,1,u,362000,NA,NA
Richmond,408/633 Church St,2,u,760000,NA,NA
Richmond,5/10 Elaine Ct,2,u,807000,106,2000
Richmond,1 Hodgson Tce,3,h,1495000,NA,NA
Richmond,9 Hosie St,3,h,1410000,NA,NA
Richmond,104/8 Howard St,1,u,385000,50,2005
Richmond,52 Hunter St,2,h,1150000,80,1900
Richmond,3 Longfield St,3,h,1400000,NA,NA
Richmond,25 Palmer St,4,h,1775000,144,1900
Richmond,4/199 Punt Rd,1,u,360000,NA,NA
Richmond,43 Type St,3,h,1270000,92,1910
Richmond,50 Canterbury St,2,h,827500,72,1900
Richmond,183 Mary St,4,h,1500000,89,NA
Richmond,153/73 River St,2,u,560000,70,2004
Richmond,21 Crown St,3,h,1165000,170,NA
Richmond,219/6 Lord St,2,u,790000,91,2013
Richmond,2 Peers St,2,h,870000,NA,NA
Richmond,29a Abinger St,3,h,1185000,NA,NA
Richmond,20 Lincoln St,4,h,1212500,108,2010
